,Unnamed: 0,2023-03-14 14:00:00+00:00,2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,2023-03-14 20:00:00+00:00,2023-03-14 21:00:00+00:00
0,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
1,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
2,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
3,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
4,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
5,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
6,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
7,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
8,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
9,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
10,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
11,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
12,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
13,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
14,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
15,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
16,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
17,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
18,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
19,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
20,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
21,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
22,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
23,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
24,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
25,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
26,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
27,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
28,,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
29,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
30,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
31,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
32,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
33,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
34,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
35,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
36,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
37,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
38,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
39,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
40,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
41,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
42,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
43,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
44,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
45,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
46,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
47,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
48,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
49,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
50,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
51,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
52,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
53,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
54,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
55,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
56,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
57,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
58,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
59,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
60,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
61,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
62,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
63,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
64,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
65,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
66,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
67,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
68,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
69,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
70,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
71,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
72,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
73,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
74,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
75,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
76,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
77,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
78,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
79,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
80,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
81,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
82,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
83,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
84,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
85,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
86,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
87,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
88,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
89,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
90,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
91,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
92,,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
