,2023-03-14 14:00:00+00:00,2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,2023-03-14 20:00:00+00:00,2023-03-14 21:00:00+00:00
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,1.0752,0.843,0.809,0.5564,1.7992,0.0,0.0,0.0
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
prcp,0.568,0.4814,0.3312,0.3362,0.3248,0.0012,0.002,0.0012
