,elevation edges,length
0,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
1,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
2,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
3,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
4,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
5,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
6,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
7,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
8,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
9,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
10,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
11,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
12,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
13,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
14,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
15,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
16,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
17,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
18,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
19,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
20,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
21,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
22,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
23,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
24,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
25,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
26,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
27,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
28,"(14.17706994047272, 17.090237131163125)","(12.40493619791363, 15.178857489767735)"
29,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
30,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
31,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
32,"(14.221819989952772, 16.550418365538725)","(12.444242491208676, 14.552616069846382)"
