,elevation edges,length
0,"(0.072, 0.128)","(0.088, 0.112)"
1,"(0.072, 0.128)","(0.088, 0.112)"
2,"(0.072, 0.128)","(0.088, 0.112)"
3,"(0.072, 0.128)","(0.088, 0.112)"
4,"(0.072, 0.128)","(0.088, 0.112)"
5,"(0.072, 0.128)","(0.088, 0.112)"
6,"(0.072, 0.128)","(0.088, 0.112)"
7,"(0.072, 0.128)","(0.088, 0.112)"
8,"(0.072, 0.128)","(0.088, 0.112)"
9,"(0.072, 0.128)","(0.088, 0.112)"
10,"(0.072, 0.072)","(0.088, 0.088)"
11,"(0.072, 0.072)","(0.088, 0.088)"
12,"(0.072, 0.072)","(0.088, 0.088)"
13,"(0.072, 0.072)","(0.088, 0.088)"
14,"(0.072, 0.072)","(0.088, 0.088)"
15,"(0.072, 0.072)","(0.088, 0.088)"
16,"(0.072, 0.072)","(0.088, 0.088)"
17,"(0.072, 0.128)","(0.088, 0.112)"
18,"(0.072, 0.128)","(0.088, 0.112)"
19,"(0.072, 0.128)","(0.088, 0.112)"
20,"(0.072, 0.128)","(0.088, 0.112)"
21,"(0.072, 0.072)","(0.088, 0.088)"
22,"(0.072, 0.072)","(0.088, 0.088)"
23,"(0.072, 0.072)","(0.088, 0.088)"
24,"(0.072, 0.072)","(0.088, 0.088)"
25,"(0.072, 0.072)","(0.088, 0.088)"
26,"(0.072, 0.072)","(0.088, 0.088)"
27,"(0.072, 0.072)","(0.088, 0.088)"
28,"(0.072, 0.128)","(0.088, 0.112)"
29,"(0.072, 0.072)","(0.088, 0.088)"
30,"(0.072, 0.072)","(0.088, 0.088)"
31,"(0.072, 0.072)","(0.088, 0.088)"
32,"(0.072, 0.072)","(0.088, 0.088)"
33,"(0.072, 0.072)","(0.088, 0.088)"
34,"(0.072, 0.072)","(0.088, 0.088)"
35,"(0.072, 0.072)","(0.088, 0.088)"
36,"(0.072, 0.072)","(0.088, 0.088)"
37,"(0.072, 0.072)","(0.088, 0.088)"
38,"(0.072, 0.072)","(0.088, 0.088)"
39,"(0.072, 0.072)","(0.088, 0.088)"
40,"(0.072, 0.072)","(0.088, 0.088)"
41,"(0.072, 0.072)","(0.088, 0.088)"
42,"(0.072, 0.072)","(0.088, 0.088)"
43,"(0.072, 0.072)","(0.088, 0.088)"
44,"(0.072, 0.072)","(0.088, 0.088)"
45,"(0.072, 0.072)","(0.088, 0.088)"
46,"(0.072, 0.072)","(0.088, 0.088)"
47,"(0.072, 0.072)","(0.088, 0.088)"
48,"(0.072, 0.072)","(0.088, 0.088)"
49,"(0.072, 0.072)","(0.088, 0.088)"
50,"(0.072, 0.072)","(0.088, 0.088)"
51,"(0.072, 0.072)","(0.088, 0.088)"
52,"(0.072, 0.072)","(0.088, 0.088)"
53,"(0.072, 0.072)","(0.088, 0.088)"
54,"(0.072, 0.072)","(0.088, 0.088)"
55,"(0.072, 0.072)","(0.088, 0.088)"
56,"(0.072, 0.072)","(0.088, 0.088)"
57,"(0.072, 0.072)","(0.088, 0.088)"
58,"(0.072, 0.072)","(0.088, 0.088)"
59,"(0.072, 0.072)","(0.088, 0.088)"
60,"(0.072, 0.072)","(0.088, 0.088)"
61,"(0.072, 0.072)","(0.088, 0.088)"
62,"(0.072, 0.072)","(0.088, 0.088)"
63,"(0.072, 0.072)","(0.088, 0.088)"
64,"(0.072, 0.072)","(0.088, 0.088)"
65,"(0.072, 0.072)","(0.088, 0.088)"
66,"(0.072, 0.072)","(0.088, 0.088)"
67,"(0.072, 0.072)","(0.088, 0.088)"
68,"(0.072, 0.072)","(0.088, 0.088)"
