,elevation nodes,vegetation
0,"(0.0, 0.15)","(0.0, 0.18)"
1,"(0.0, 0.15)","(0.0, 0.18)"
2,"(0.0, 0.15)","(0.0, 0.18)"
3,"(0.0, 0.15)","(0.0, 0.18)"
4,"(0.0, 0.15)","(0.0, 0.18)"
5,"(0.0, 0.15)","(0.0, 0.18)"
6,"(0.0, 0.15)","(0.0, 0.18)"
7,"(0.0, 0.15)","(0.0, 0.18)"
8,"(0.0, 0.15)","(0.0, 0.18)"
9,"(0.0, 0.15)","(0.0, 0.18)"
10,"(0.0, 0.15)","(0.0, 0.18)"
11,"(0.0, 0.15)","(0.0, 0.18)"
12,"(0.0, 0.15)","(0.0, 0.18)"
13,"(0.0, 0.175)","(0.0, 0.22)"
14,"(0.0, 0.175)","(0.0, 0.22)"
15,"(0.0, 0.175)","(0.0, 0.22)"
16,"(0.0, 0.175)","(0.0, 0.22)"
17,"(0.0, 0.175)","(0.0, 0.22)"
18,"(0.0, 0.175)","(0.0, 0.22)"
19,"(0.0, 0.175)","(0.0, 0.22)"
20,"(0.0, 0.175)","(0.0, 0.22)"
21,"(0.0, 0.15)","(0.0, 0.18)"
22,"(0.0, 0.15)","(0.0, 0.18)"
23,"(0.0, 0.15)","(0.0, 0.18)"
24,"(0.0, 0.15)","(0.0, 0.18)"
25,"(0.0, 0.15)","(0.0, 0.18)"
26,"(0.0, 0.175)","(0.0, 0.22)"
27,"(0.0, 0.175)","(0.0, 0.22)"
28,"(0.0, 0.175)","(0.0, 0.22)"
29,"(0.0, 0.175)","(0.0, 0.22)"
30,"(0.0, 0.175)","(0.0, 0.22)"
31,"(0.0, 0.175)","(0.0, 0.22)"
32,"(0.0, 0.175)","(0.0, 0.22)"
33,"(0.0, 0.175)","(0.0, 0.22)"
34,"(0.0, 0.175)","(0.0, 0.22)"
35,"(0.0, 0.175)","(0.0, 0.22)"
36,"(0.0, 0.175)","(0.0, 0.22)"
37,"(0.0, 0.15)","(0.0, 0.18)"
38,"(0.0, 0.15)","(0.0, 0.18)"
39,"(0.0, 0.175)","(0.0, 0.22)"
40,"(0.0, 0.175)","(0.0, 0.22)"
41,"(0.0, 0.175)","(0.0, 0.22)"
42,"(0.0, 0.175)","(0.0, 0.22)"
43,"(0.0, 0.175)","(0.0, 0.22)"
44,"(0.0, 0.175)","(0.0, 0.22)"
45,"(0.0, 0.175)","(0.0, 0.22)"
46,"(0.0, 0.175)","(0.0, 0.22)"
47,"(0.0, 0.175)","(0.0, 0.22)"
48,"(0.0, 0.175)","(0.0, 0.22)"
49,"(0.0, 0.175)","(0.0, 0.22)"
50,"(0.0, 0.175)","(0.0, 0.22)"
51,"(0.0, 0.175)","(0.0, 0.22)"
52,"(0.0, 0.175)","(0.0, 0.22)"
53,"(0.0, 0.175)","(0.0, 0.22)"
54,"(0.0, 0.175)","(0.0, 0.22)"
55,"(0.0, 0.175)","(0.0, 0.22)"
56,"(0.0, 0.175)","(0.0, 0.22)"
57,"(0.0, 0.175)","(0.0, 0.22)"
58,"(0.0, 0.175)","(0.0, 0.22)"
59,"(0.0, 0.175)","(0.0, 0.22)"
60,"(0.0, 0.175)","(0.0, 0.22)"
61,"(0.0, 0.175)","(0.0, 0.22)"
62,"(0.0, 0.175)","(0.0, 0.22)"
63,"(0.0, 0.175)","(0.0, 0.22)"
64,"(0.0, 0.175)","(0.0, 0.22)"
65,"(0.0, 0.175)","(0.0, 0.22)"
66,"(0.0, 0.175)","(0.0, 0.22)"
67,"(0.0, 0.175)","(0.0, 0.22)"
68,"(0.0, 0.175)","(0.0, 0.22)"
69,"(0.0, 0.175)","(0.0, 0.22)"
70,"(0.0, 0.175)","(0.0, 0.22)"
71,"(0.0, 0.175)","(0.0, 0.22)"
72,"(0.0, 0.175)","(0.0, 0.22)"
73,"(0.0, 0.175)","(0.0, 0.22)"
74,"(0.0, 0.175)","(0.0, 0.22)"
75,"(0.0, 0.175)","(0.0, 0.22)"
76,"(0.0, 0.175)","(0.0, 0.22)"
77,"(0.0, 0.175)","(0.0, 0.22)"
78,"(0.0, 0.175)","(0.0, 0.22)"
79,"(0.0, 0.175)","(0.0, 0.22)"
80,"(0.0, 0.175)","(0.0, 0.22)"
81,"(0.0, 0.175)","(0.0, 0.22)"
82,"(0.0, 0.175)","(0.0, 0.22)"
83,"(0.0, 0.175)","(0.0, 0.22)"
84,"(0.0, 0.175)","(0.0, 0.22)"
85,"(0.0, 0.175)","(0.0, 0.22)"
86,"(0.0, 0.175)","(0.0, 0.22)"
87,"(0.0, 0.175)","(0.0, 0.22)"
88,"(0.0, 0.175)","(0.0, 0.22)"
89,"(0.0, 0.175)","(0.0, 0.22)"
90,"(0.0, 0.175)","(0.0, 0.22)"
91,"(0.0, 0.175)","(0.0, 0.22)"
92,"(0.0, 0.175)","(0.0, 0.22)"
93,"(0.0, 0.175)","(0.0, 0.22)"
94,"(0.0, 0.175)","(0.0, 0.22)"
95,"(0.0, 0.175)","(0.0, 0.22)"
96,"(0.0, 0.175)","(0.0, 0.22)"
97,"(0.0, 0.175)","(0.0, 0.22)"
98,"(0.0, 0.175)","(0.0, 0.22)"
99,"(0.0, 0.175)","(0.0, 0.22)"
100,"(0.0, 0.175)","(0.0, 0.22)"
101,"(0.0, 0.175)","(0.0, 0.22)"
102,"(0.0, 0.175)","(0.0, 0.22)"
103,"(0.0, 0.175)","(0.0, 0.22)"
104,"(0.0, 0.175)","(0.0, 0.22)"
105,"(0.0, 0.175)","(0.0, 0.22)"
106,"(0.0, 0.175)","(0.0, 0.22)"
107,"(0.0, 0.175)","(0.0, 0.22)"
108,"(0.0, 0.175)","(0.0, 0.22)"
109,"(0.0, 0.175)","(0.0, 0.22)"
110,"(0.0, 0.175)","(0.0, 0.22)"
111,"(0.0, 0.175)","(0.0, 0.22)"
112,"(0.0, 0.175)","(0.0, 0.22)"
113,"(0.0, 0.175)","(0.0, 0.22)"
114,"(0.0, 0.175)","(0.0, 0.22)"
115,"(0.0, 0.175)","(0.0, 0.22)"
116,"(0.0, 0.175)","(0.0, 0.22)"
117,"(0.0, 0.175)","(0.0, 0.22)"
118,"(0.0, 0.175)","(0.0, 0.22)"
119,"(0.0, 0.175)","(0.0, 0.22)"
120,"(0.0, 0.175)","(0.0, 0.22)"
121,"(0.0, 0.175)","(0.0, 0.22)"
122,"(0.0, 0.175)","(0.0, 0.22)"
123,"(0.0, 0.175)","(0.0, 0.22)"
124,"(0.0, 0.175)","(0.0, 0.22)"
125,"(0.0, 0.175)","(0.0, 0.22)"
126,"(0.0, 0.175)","(0.0, 0.22)"
127,"(0.0, 0.175)","(0.0, 0.22)"
128,"(0.0, 0.175)","(0.0, 0.22)"
129,"(0.0, 0.175)","(0.0, 0.22)"
130,"(0.0, 0.175)","(0.0, 0.22)"
131,"(0.0, 0.175)","(0.0, 0.22)"
132,"(0.0, 0.175)","(0.0, 0.22)"
133,"(0.0, 0.175)","(0.0, 0.22)"
134,"(0.0, 0.175)","(0.0, 0.22)"
135,"(0.0, 0.175)","(0.0, 0.22)"
136,"(0.0, 0.175)","(0.0, 0.22)"
137,"(0.0, 0.175)","(0.0, 0.22)"
138,"(0.0, 0.175)","(0.0, 0.22)"
139,"(0.0, 0.175)","(0.0, 0.22)"
140,"(0.0, 0.175)","(0.0, 0.22)"
141,"(0.0, 0.175)","(0.0, 0.22)"
142,"(0.0, 0.175)","(0.0, 0.22)"
143,"(0.0, 0.175)","(0.0, 0.22)"
144,"(0.0, 0.175)","(0.0, 0.22)"
145,"(0.0, 0.175)","(0.0, 0.22)"
146,"(0.0, 0.175)","(0.0, 0.22)"
147,"(0.0, 0.15)","(0.0, 0.18)"
148,"(0.0, 0.15)","(0.0, 0.18)"
149,"(0.0, 0.15)","(0.0, 0.18)"
150,"(0.0, 0.15)","(0.0, 0.18)"
151,"(0.0, 0.15)","(0.0, 0.18)"
152,"(0.0, 0.15)","(0.0, 0.18)"
153,"(0.0, 0.15)","(0.0, 0.18)"
154,"(0.0, 0.15)","(0.0, 0.18)"
155,"(0.0, 0.15)","(0.0, 0.18)"
156,"(0.0, 0.15)","(0.0, 0.18)"
157,"(0.0, 0.15)","(0.0, 0.18)"
158,"(0.0, 0.15)","(0.0, 0.18)"
159,"(0.0, 0.15)","(0.0, 0.18)"
160,"(0.0, 0.15)","(0.0, 0.18)"
161,"(0.0, 0.15)","(0.0, 0.18)"
162,"(0.0, 0.15)","(0.0, 0.18)"
163,"(0.0, 0.15)","(0.0, 0.18)"
164,"(0.0, 0.15)","(0.0, 0.18)"
165,"(0.0, 0.15)","(0.0, 0.18)"
166,"(0.0, 0.15)","(0.0, 0.18)"
167,"(0.0, 0.15)","(0.0, 0.18)"
168,"(0.0, 0.15)","(0.0, 0.18)"
169,"(0.0, 0.15)","(0.0, 0.18)"
170,"(0.0, 0.15)","(0.0, 0.18)"
171,"(0.0, 0.15)","(0.0, 0.18)"
172,"(0.0, 0.15)","(0.0, 0.18)"
173,"(0.0, 0.15)","(0.0, 0.18)"
174,"(0.0, 0.15)","(0.0, 0.18)"
175,"(0.0, 0.15)","(0.0, 0.18)"
176,"(0.0, 0.15)","(0.0, 0.18)"
177,"(0.0, 0.15)","(0.0, 0.18)"
178,"(0.0, 0.15)","(0.0, 0.18)"
179,"(0.0, 0.15)","(0.0, 0.18)"
180,"(0.0, 0.15)","(0.0, 0.18)"
181,"(0.0, 0.15)","(0.0, 0.18)"
182,"(0.0, 0.15)","(0.0, 0.18)"
183,"(0.0, 0.15)","(0.0, 0.18)"
184,"(0.0, 0.15)","(0.0, 0.18)"
185,"(0.0, 0.15)","(0.0, 0.18)"
186,"(0.0, 0.15)","(0.0, 0.18)"
187,"(0.0, 0.15)","(0.0, 0.18)"
188,"(0.0, 0.175)","(0.0, 0.22)"
189,"(0.0, 0.175)","(0.0, 0.22)"
190,"(0.0, 0.175)","(0.0, 0.22)"
191,"(0.0, 0.175)","(0.0, 0.22)"
192,"(0.0, 0.175)","(0.0, 0.22)"
193,"(0.0, 0.175)","(0.0, 0.22)"
194,"(0.0, 0.175)","(0.0, 0.22)"
195,"(0.0, 0.175)","(0.0, 0.22)"
196,"(0.0, 0.175)","(0.0, 0.22)"
197,"(0.0, 0.175)","(0.0, 0.22)"
198,"(0.0, 0.175)","(0.0, 0.22)"
199,"(0.0, 0.175)","(0.0, 0.22)"
200,"(0.0, 0.175)","(0.0, 0.22)"
201,"(0.0, 0.175)","(0.0, 0.22)"
202,"(0.0, 0.175)","(0.0, 0.22)"
203,"(0.0, 0.175)","(0.0, 0.22)"
204,"(0.0, 0.175)","(0.0, 0.22)"
205,"(0.0, 0.175)","(0.0, 0.22)"
206,"(0.0, 0.175)","(0.0, 0.22)"
207,"(0.0, 0.175)","(0.0, 0.22)"
208,"(0.0, 0.175)","(0.0, 0.22)"
209,"(0.0, 0.175)","(0.0, 0.22)"
210,"(0.0, 0.175)","(0.0, 0.22)"
211,"(0.0, 0.175)","(0.0, 0.22)"
212,"(0.0, 0.175)","(0.0, 0.22)"
213,"(0.0, 0.175)","(0.0, 0.22)"
214,"(0.0, 0.175)","(0.0, 0.22)"
215,"(0.0, 0.175)","(0.0, 0.22)"
216,"(0.0, 0.175)","(0.0, 0.22)"
217,"(0.0, 0.175)","(0.0, 0.22)"
218,"(0.0, 0.175)","(0.0, 0.22)"
219,"(0.0, 0.175)","(0.0, 0.22)"
220,"(0.0, 0.175)","(0.0, 0.22)"
221,"(0.0, 0.175)","(0.0, 0.22)"
222,"(0.0, 0.175)","(0.0, 0.22)"
223,"(0.0, 0.175)","(0.0, 0.22)"
224,"(0.0, 0.175)","(0.0, 0.22)"
