,elevation nodes,vegetation
0,"(0.075, 0.125)","(0.06, 0.14)"
1,"(0.075, 0.125)","(0.06, 0.14)"
2,"(0.075, 0.125)","(0.06, 0.14)"
3,"(0.075, 0.125)","(0.06, 0.14)"
4,"(0.075, 0.125)","(0.06, 0.14)"
5,"(0.075, 0.125)","(0.06, 0.14)"
6,"(0.075, 0.125)","(0.06, 0.14)"
7,"(0.075, 0.125)","(0.06, 0.14)"
8,"(0.075, 0.125)","(0.06, 0.14)"
9,"(0.075, 0.125)","(0.06, 0.14)"
10,"(0.075, 0.125)","(0.06, 0.14)"
11,"(0.075, 0.125)","(0.06, 0.14)"
12,"(0.075, 0.125)","(0.06, 0.14)"
13,"(0.075, 0.075)","(0.06, 0.06)"
14,"(0.075, 0.075)","(0.06, 0.06)"
15,"(0.075, 0.075)","(0.06, 0.06)"
16,"(0.075, 0.075)","(0.06, 0.06)"
17,"(0.075, 0.075)","(0.06, 0.06)"
18,"(0.075, 0.075)","(0.06, 0.06)"
19,"(0.075, 0.075)","(0.06, 0.06)"
20,"(0.075, 0.075)","(0.06, 0.06)"
21,"(0.075, 0.125)","(0.06, 0.14)"
22,"(0.075, 0.125)","(0.06, 0.14)"
23,"(0.075, 0.125)","(0.06, 0.14)"
24,"(0.075, 0.125)","(0.06, 0.14)"
25,"(0.075, 0.125)","(0.06, 0.14)"
26,"(0.075, 0.075)","(0.06, 0.06)"
27,"(0.075, 0.075)","(0.06, 0.06)"
28,"(0.075, 0.075)","(0.06, 0.06)"
29,"(0.075, 0.075)","(0.06, 0.06)"
30,"(0.075, 0.075)","(0.06, 0.06)"
31,"(0.075, 0.075)","(0.06, 0.06)"
32,"(0.075, 0.075)","(0.06, 0.06)"
33,"(0.075, 0.075)","(0.06, 0.06)"
34,"(0.075, 0.075)","(0.06, 0.06)"
35,"(0.075, 0.075)","(0.06, 0.06)"
36,"(0.075, 0.075)","(0.06, 0.06)"
37,"(0.075, 0.125)","(0.06, 0.14)"
38,"(0.075, 0.125)","(0.06, 0.14)"
39,"(0.075, 0.075)","(0.06, 0.06)"
40,"(0.075, 0.075)","(0.06, 0.06)"
41,"(0.075, 0.075)","(0.06, 0.06)"
42,"(0.075, 0.075)","(0.06, 0.06)"
43,"(0.075, 0.075)","(0.06, 0.06)"
44,"(0.075, 0.075)","(0.06, 0.06)"
45,"(0.075, 0.075)","(0.06, 0.06)"
46,"(0.075, 0.075)","(0.06, 0.06)"
47,"(0.075, 0.075)","(0.06, 0.06)"
48,"(0.075, 0.075)","(0.06, 0.06)"
49,"(0.075, 0.075)","(0.06, 0.06)"
50,"(0.075, 0.075)","(0.06, 0.06)"
51,"(0.075, 0.075)","(0.06, 0.06)"
52,"(0.075, 0.075)","(0.06, 0.06)"
53,"(0.075, 0.075)","(0.06, 0.06)"
54,"(0.075, 0.075)","(0.06, 0.06)"
55,"(0.075, 0.075)","(0.06, 0.06)"
56,"(0.075, 0.075)","(0.06, 0.06)"
57,"(0.075, 0.075)","(0.06, 0.06)"
58,"(0.075, 0.075)","(0.06, 0.06)"
59,"(0.075, 0.075)","(0.06, 0.06)"
60,"(0.075, 0.075)","(0.06, 0.06)"
61,"(0.075, 0.075)","(0.06, 0.06)"
62,"(0.075, 0.075)","(0.06, 0.06)"
63,"(0.075, 0.075)","(0.06, 0.06)"
64,"(0.075, 0.075)","(0.06, 0.06)"
65,"(0.075, 0.075)","(0.06, 0.06)"
66,"(0.075, 0.075)","(0.06, 0.06)"
67,"(0.075, 0.075)","(0.06, 0.06)"
68,"(0.075, 0.075)","(0.06, 0.06)"
69,"(0.075, 0.075)","(0.06, 0.06)"
70,"(0.075, 0.075)","(0.06, 0.06)"
71,"(0.075, 0.075)","(0.06, 0.06)"
72,"(0.075, 0.075)","(0.06, 0.06)"
73,"(0.075, 0.075)","(0.06, 0.06)"
74,"(0.075, 0.075)","(0.06, 0.06)"
75,"(0.075, 0.075)","(0.06, 0.06)"
76,"(0.075, 0.075)","(0.06, 0.06)"
77,"(0.075, 0.075)","(0.06, 0.06)"
78,"(0.075, 0.075)","(0.06, 0.06)"
79,"(0.075, 0.075)","(0.06, 0.06)"
80,"(0.075, 0.075)","(0.06, 0.06)"
81,"(0.075, 0.075)","(0.06, 0.06)"
82,"(0.075, 0.075)","(0.06, 0.06)"
83,"(0.075, 0.075)","(0.06, 0.06)"
84,"(0.075, 0.075)","(0.06, 0.06)"
85,"(0.075, 0.075)","(0.06, 0.06)"
86,"(0.075, 0.075)","(0.06, 0.06)"
87,"(0.075, 0.075)","(0.06, 0.06)"
88,"(0.075, 0.075)","(0.06, 0.06)"
89,"(0.075, 0.075)","(0.06, 0.06)"
90,"(0.075, 0.075)","(0.06, 0.06)"
91,"(0.075, 0.075)","(0.06, 0.06)"
92,"(0.075, 0.075)","(0.06, 0.06)"
93,"(0.075, 0.075)","(0.06, 0.06)"
94,"(0.075, 0.075)","(0.06, 0.06)"
95,"(0.075, 0.075)","(0.06, 0.06)"
96,"(0.075, 0.075)","(0.06, 0.06)"
97,"(0.075, 0.075)","(0.06, 0.06)"
98,"(0.075, 0.075)","(0.06, 0.06)"
99,"(0.075, 0.075)","(0.06, 0.06)"
100,"(0.075, 0.075)","(0.06, 0.06)"
101,"(0.075, 0.075)","(0.06, 0.06)"
102,"(0.075, 0.075)","(0.06, 0.06)"
103,"(0.075, 0.075)","(0.06, 0.06)"
104,"(0.075, 0.075)","(0.06, 0.06)"
105,"(0.075, 0.075)","(0.06, 0.06)"
106,"(0.075, 0.075)","(0.06, 0.06)"
107,"(0.075, 0.075)","(0.06, 0.06)"
108,"(0.075, 0.075)","(0.06, 0.06)"
109,"(0.075, 0.075)","(0.06, 0.06)"
110,"(0.075, 0.075)","(0.06, 0.06)"
111,"(0.075, 0.075)","(0.06, 0.06)"
112,"(0.075, 0.075)","(0.06, 0.06)"
113,"(0.075, 0.075)","(0.06, 0.06)"
114,"(0.075, 0.075)","(0.06, 0.06)"
115,"(0.075, 0.075)","(0.06, 0.06)"
116,"(0.075, 0.075)","(0.06, 0.06)"
117,"(0.075, 0.075)","(0.06, 0.06)"
118,"(0.075, 0.075)","(0.06, 0.06)"
119,"(0.075, 0.075)","(0.06, 0.06)"
120,"(0.075, 0.075)","(0.06, 0.06)"
121,"(0.075, 0.075)","(0.06, 0.06)"
122,"(0.075, 0.075)","(0.06, 0.06)"
123,"(0.075, 0.075)","(0.06, 0.06)"
124,"(0.075, 0.075)","(0.06, 0.06)"
125,"(0.075, 0.075)","(0.06, 0.06)"
126,"(0.075, 0.075)","(0.06, 0.06)"
127,"(0.075, 0.075)","(0.06, 0.06)"
128,"(0.075, 0.075)","(0.06, 0.06)"
129,"(0.075, 0.075)","(0.06, 0.06)"
130,"(0.075, 0.075)","(0.06, 0.06)"
131,"(0.075, 0.075)","(0.06, 0.06)"
132,"(0.075, 0.075)","(0.06, 0.06)"
133,"(0.075, 0.075)","(0.06, 0.06)"
134,"(0.075, 0.075)","(0.06, 0.06)"
135,"(0.075, 0.075)","(0.06, 0.06)"
136,"(0.075, 0.075)","(0.06, 0.06)"
137,"(0.075, 0.075)","(0.06, 0.06)"
138,"(0.075, 0.075)","(0.06, 0.06)"
139,"(0.075, 0.075)","(0.06, 0.06)"
140,"(0.075, 0.075)","(0.06, 0.06)"
141,"(0.075, 0.075)","(0.06, 0.06)"
142,"(0.075, 0.075)","(0.06, 0.06)"
143,"(0.075, 0.075)","(0.06, 0.06)"
144,"(0.075, 0.075)","(0.06, 0.06)"
145,"(0.075, 0.075)","(0.06, 0.06)"
