,source,target,name,elevation,length,vegetation,location,type
0,0,715,new line.l(r:p3rdt1052-p3rhs0_1247),437.214859,0.09934805,28.9,1,1
1,1,2,new line.l(r:p3rdt0lv-p3rlv1),211.9096146,0.026037,2.2,1,1
2,3,4,new line.l(r:p3rdt1lv-p3rlv2)_s0,205.9342346,0.0245282,0,1,1
3,3,6,new line.l(r:p3rdt1lv-p3rlv7),206.1208038,0.0262551,0,1,1
4,4,5,new line.l(r:p3rdt1lv-p3rlv2)_s1,205.8004913,0.00174706,0,1,1
5,7,8,new line.l(r:p3rdt2lv-p3rlv3),206.7364807,0.0194357,0,1,1
6,7,9,new line.l(r:p3rdt2lv-p3rlv4),207.0462189,0.0314041,0,1,1
7,7,10,new line.l(r:p3rdt2lv-p3rlv5),206.278183,0.0334126,0,1,1
8,7,11,new line.l(r:p3rdt2lv-p3rlv6),206.425827,0.0225703,0,1,1
9,7,12,new line.l(r:p3rdt2lv-p3rlv8),207.5604935,0.0735921,0,1,1
10,13,14,new line.l(r:p3rdt3lv-p3rlv9),172.1249313,0.0429455,0,1,1
11,13,15,new line.l(r:p3rdt3lv-p3rlv25),172.0033035,0.0884156,0,1,1
12,13,16,new line.l(r:p3rdt3lv-p3rlv145),172.1921387,0.0509652,0,1,1
13,13,17,new line.l(r:p3rdm10-p3rdt3lv),171.9504166,0.019588,0,1,1
14,17,18,new line.l(r:p3rdm10-p3rlv140),171.6178589,0.0668603,0,1,1
15,17,19,new line.l(r:p3rdm10-p3rlv141),171.5287094,0.0949987,0,1,1
16,17,20,new line.l(r:p3rdm10-p3rlv153),171.4771423,0.125479,0,1,1
17,21,22,new line.l(r:p3rdt4lv-p3rlv10),183.7974167,0.0099777,0,1,1
18,21,23,new line.l(r:p3rdt4lv-p3rlv12),183.6461792,0.0239857,0,1,1
19,21,24,new line.l(r:p3rdt4lv-p3rlv14),183.8762589,0.0217126,0,1,1
20,21,25,new line.l(r:p3rdt4lv-p3rlv271),183.9847565,0.039684,0,1,1
21,26,27,new line.l(r:p3rdt6lv-p3rlv13),177.3141785,0.1043,0,1,1
22,26,28,new line.l(r:p3rdm20-p3rdt6lv),178.0162888,0.0197908,0,1,1
23,28,29,new line.l(r:p3rdm20-p3rlv17),177.7652206,0.0850323,0,1,1
24,28,30,new line.l(r:p3rdm20-p3rlv28),177.6905289,0.108104,0,1,1
25,31,32,new line.l(r:p3rdt10lv-p3rlv19),177.3296661,0.001,0,1,1
26,33,34,new line.l(r:p3rdt11lv-p3rlv20),176.9597321,0.001,0,1,1
27,35,36,new line.l(r:p3rdt12lv-p3rlv21),172.3468704,0.0377282,0,1,1
28,37,38,new line.l(r:p3rdt16lv-p3rlv27),183.0088196,0.0218233,0,1,1
29,39,40,new line.l(r:p3rdt35lv-p3rlv63),200.5847397,0.0183919,0,1,1
30,39,41,new line.l(r:p3rdt35lv-p3rlv65),199.4825897,0.00851206,0,1,1
31,39,42,new line.l(r:p3rdt35lv-p3rlv68),201.478775,0.0378347,0,1,1
32,39,43,new line.l(r:p3rdm70-p3rdt35lv),198.3549881,0.03439,0,1,1
33,39,45,new line.l(r:p3rdm72-p3rdt35lv),200.0761719,0.0171975,0,1,1
34,43,44,new line.l(r:p3rdm70-p3rlv70),197.1950684,0.0100629,0,1,1
35,45,46,new line.l(r:p3rdm72-p3rlv73),201.1361465,0.0163089,0,1,1
36,45,47,new line.l(r:p3rdm72-p3rlv74),200.8968964,0.00719576,0,1,1
37,45,48,new line.l(r:p3rdm71-p3rdm72),202.6676712,0.0475719,0,1,1
38,48,49,new line.l(r:p3rdm71-p3rlv71),204.1817856,0.0285083,0,1,1
39,50,51,new line.l(r:p3rdt36lv-p3rlv64),205.4726257,0.00418044,0,1,1
40,52,53,new line.l(r:p3rdt37lv-p3rlv66),199.2436829,0.0613582,4,1,1
41,52,54,new line.l(r:p3rdm76-p3rdt37lv),196.2112732,0.0171925,0,1,1
42,54,55,new line.l(r:p3rdm76-p3rlv69),196.0112076,0.00997008,0,1,1
43,56,57,new line.l(r:p3rdt38lv-p3rlv67),223.1807404,0.001,0,1,1
44,58,59,new line.l(r:p3rdt39lv-p3rlv72),201.2042999,0.048886,0,1,1
45,60,61,new line.l(r:p3rdt40lv-p3rlv75),171.7656555,0.0383785,0,1,1
46,60,62,new line.l(r:p3rdt40lv-p3rlv76),171.7831268,0.0382332,0,1,1
47,60,63,new line.l(r:p3rdt40lv-p3rlv77),171.914711,0.039893,0,1,1
48,64,65,new line.l(r:p3rdt42lv-p3rlv79),170.5270996,0.0695001,0,1,1
49,64,66,new line.l(r:p3rdt42lv-p3rlv273),170.6704178,0.0134696,0,1,1
50,64,67,new line.l(r:p3rdt42lv-p3rlv274),170.6077499,0.0353526,0,1,1
51,68,69,new line.l(r:p3rdt65lv-p3rlv112),169.6530457,0.001,0,1,1
52,70,71,new line.l(r:p3rdt66lv-p3rlv113),168.853569,0.0919213,0,1,1
